,id,Brown Dwarf,Constellation,Right Ascension,Declination,Apparent Magnitude,Distance,Spectral Type,Mass,Radius,Date Discovered,name,dist,mass,rad,lum
0,0,,,,,,,,,,,Sun,0.000015813,1,1,1
1,1,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,4.932624,0.0009450421200000001,2004.0,Sirius,0008.6,2.1,1.71,25.4
2,2,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192.0,L1γ,1.952497,0.00155597844,,Canopus,0310,15,71,"13,500"
3,3,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002.0,Alpha Centauri,0004.4,1.1,1.2,2
4,4,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,8.118276999999999,0.0010405009200000002,,Arcturus,0037,1.1,26,170
5,5,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,,143.0,L4,,,,Vega,0025,2.2,2.7,50
6,6,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,,236.0,M9.5β,3.185653,0.00137460672,,Capella,0043,2.6,12,150
7,7,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,,46.9,M8,,,,Rigel,0860,23,78.9,"120,000"
8,8,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,,87.2,L7,5.549201999999999,0.00093549624,,Procyon,0011.4,1.5,1.9,7.7
9,9,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,,131.0,L1-L4β,2.980127,0.00136506084,,Betelgeuse,0640[1],20,950,"60,000"
10,10,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,,31.0,T6.5,4.316046,0.00089731272,,Achernar,0144,6.7,9.3,"3,000"
11,11,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,4.316046,0.00089731272,2000.0,Hadar,0390,10.5,8.6,"42,000"
12,12,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,,57.0,L2β,2.363549,0.00154643256,,Altair,0017,1.8,1.8,10.5
13,13,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,40.0,L7.5p,1.233156,0.0012409644000000001,,Acrux,0320,18,8.9,"25,000"
14,14,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,34.0,T7,4.110519999999999,0.00089731272,,Aldebaran,0065,1.5,44,520
15,15,2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,,M7.5,,,,Antares,0600,12,680,"75,000"
16,16,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,96.0,L0β,2.980127,0.00136506084,,Spica,0260,11.43,7.47,"20,512"
17,17,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30.0,T8.5,2.363549,,2013.0,Pollux,0034,1.9,8.8,43
18,18,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,,70.0,L6β,5.343675999999999,0.00093549624,,Fomalhaut,0025,1.9,1.8,16.6
19,19,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,,51.0,L8,5.343675999999999,0.00093549624,,Deneb,"2,600",19,203,"200,000"
20,20,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,,163.0,L2:,2.0552599999999996,0.00154643256,,Mimosa,0350,16,8.4,"34,000"
21,21,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,,130.0,L0γ,2.0552599999999996,0.0015368866800000002,,Regulus,0077,3.8,3.1,290
22,22,SDSS J015141.69+124429.6,,1h 51m 41.55s,12° 44′ 30″,,70.0,T1,4.829860999999999,0.00092595036,,Adhara,0430,12.5,14,"39,000"
23,23,DENIS-P J020529.0−115925A,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L5.5,,,1997.0,Shaula,0700,14.5,8.8,"36,000"
24,24,DENIS-P J020529.0−115925B,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L8,,,1997.0,Castor,0052,2.8,2.4,30
25,25,DENIS-P J020529.0−115925C,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,T0,,,1997.0,Gacrux,0088,1.5,84,820
